province,country,date,lat,long,confirmed,deaths,recovered,active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Minnesota,US,04-01-2021,45.1526059,-95.00586446,5410,66,0,5344,"Kandiyohi, Minnesota, US",12523.43804,1.219963031
Minnesota,US,04-01-2021,48.77754106,-96.78317184,342,18,0,324,"Kittson, Minnesota, US",7957.18939,5.263157895
Minnesota,US,04-01-2021,48.24539665,-93.78352843,553,9,0,544,"Koochiching, Minnesota, US",4522.037779,1.627486438
Minnesota,US,04-01-2021,44.9973857,-96.17488219,614,15,0,599,"Lac qui Parle, Minnesota, US",9270.723237,2.442996743
Minnesota,US,04-01-2021,47.64270764,-91.44557998,560,15,0,545,"Lake, Minnesota, US",5262.663284,2.678571429
Minnesota,US,04-01-2021,48.77217001,-94.90274472,154,1,0,153,"Lake of the Woods, Minnesota, US",4117.647059,0.649350649
Minnesota,US,04-01-2021,44.37136597,-93.72844721,1975,15,0,1960,"Le Sueur, Minnesota, US",6836.985495,0.759493671
Minnesota,US,04-01-2021,44.41311883,-96.26688165,456,1,0,455,"Lincoln, Minnesota, US",8086.540167,0.219298246
Minnesota,US,04-01-2021,44.41327865,-95.83806103,2872,29,0,2843,"Lyon, Minnesota, US",11274.2404,1.009749304
Minnesota,US,04-01-2021,47.32557075,-95.80921485,397,7,0,390,"Mahnomen, Minnesota, US",7182.92021,1.763224181
Minnesota,US,04-01-2021,48.35825983,-96.37017407,680,13,0,667,"Marshall, Minnesota, US",7283.633248,1.911764706
Minnesota,US,04-01-2021,43.67429718,-94.55099908,1585,25,0,1560,"Martin, Minnesota, US",8052.634253,1.577287066
Minnesota,US,04-01-2021,44.82367677,-94.27287017,3104,40,0,3064,"McLeod, Minnesota, US",8647.925779,1.288659794
Minnesota,US,04-01-2021,45.12328869,-94.52839455,1897,32,0,1865,"Meeker, Minnesota, US",8168.977694,1.686874012
Minnesota,US,04-01-2021,45.93705297,-93.63236823,2048,43,0,2005,"Mille Lacs, Minnesota, US",7793.888191,2.099609375
Minnesota,US,04-01-2021,46.01265363,-94.27341528,2941,43,0,2898,"Morrison, Minnesota, US",8809.081651,1.462087725
